Trichospermum galeottii,Malvaceae,7,4,2,1,5,1,2,4
Triplaris cumingiana,Polygonaceae,375,371,362,321,279,256,249,254
Trophis caucana,Moraceae,441,385,306,225,184,159,143,138
Trophis racemosa,Moraceae,314,336,349,336,306,281,260,237
Turpinia occidentalis,Tapisciaceae,153,113,86,80,72,70,90,60
Unidentified species,Unknown,25,38,59,41,38,0,0,0
Unonopsis pittieri,Annonaceae,774,805,843,760,689,638,672,714
Urera baccifera,Urticaceae,2,6,18,13,18,14,17,21
Vasconcellea cauliflora,Caricaceae,0,0,0,0,0,0,2,0
Verbesina gigantea,Asteraceae,0,0,0,0,1,1,2,3
Virola multiflora,Myristicaceae,58,53,53,51,48,44,41,34
Virola sebifera,Myristicaceae,2399,2306,2125,1890,1626,1410,1288,1123
Virola surinamensis,Myristicaceae,306,269,246,226,200,182,177,160
Vismia baccifera,Clusiaceae,75,78,81,75,56,47,58,55
Vismia billbergiana,Clusiaceae,3,4,3,2,2,4,5,7
Vismia macrophylla,Clusiaceae,1,0,0,1,1,0,2,0
Vochysia ferruginea,Vochysiaceae,34,28,28,26,21,27,33,38
Xylopia macrantha,Annonaceae,817,937,1068,1165,1250,1454,1698,2133
Xylosma chlorantha,Salicaceae,1,1,0,0,0,0,0,0
Xylosma oligandra,Salicaceae,180,167,146,122,94,66,52,46
Zanthoxylum acuminatum,Rutaceae,205,214,174,141,114,90,90,72
Zanthoxylum ekmanii,Rutaceae,218,253,237,204,234,193,258,235
Zanthoxylum panamense,Rutaceae,301,252,246,190,149,181,251,194
Zanthoxylum setulosum,Rutaceae,1,1,1,1,1,1,1,0
Zuelania guidonia,Salicaceae,40,43,43,43,37,35,33,28
