Ocotea whitei,Lauraceae,953,759,580,382,246,190,225,231
Oenocarpus mapora,Arecaceae,1032,959,1036,1059,1042,1020,1003,953
Oreopanax capitatus,Araliaceae,0,0,0,0,0,0,1,0
Ormosia amazonica,Fabaceae-papilionoideae,0,1,1,1,0,0,0,0
Ormosia coccinea,Fabaceae-papilionoideae,49,53,66,75,82,100,101,105
Ormosia macrocalyx,Fabaceae-papilionoideae,69,76,103,112,107,107,102,104
Ouratea lucens,Ochnaceae,1123,1239,1266,1205,1192,1227,1207,1200
Pachira sessilis,Malvaceae,17,14,13,12,7,5,9,9
Palicourea guianensis,Rubiaceae,376,661,1474,1053,865,851,1119,1321
Pavonia dasypetala,Malvaceae,1,1,0,0,0,0,0,0
Pentagonia macrophylla,Rubiaceae,566,510,450,373,306,299,306,313
Perebea xanthochyma,Moraceae,254,253,252,237,220,209,199,183
Picramnia latifolia,Picramniaceae,1133,1139,1136,1071,1008,1022,1046,1103
Piper aequale,Piperaceae,220,159,84,52,26,27,26,32
Piper arboreum,Piperaceae,107,83,60,38,22,19,24,24
Piper colonense,Piperaceae,120,65,53,29,21,16,9,8
Piper cordulatum,Piperaceae,3142,3706,1772,394,92,49,58,68
Piper imperialis,Piperaceae,9,3,3,1,1,0,0,4
Piper longispicum,Piperaceae,0,0,0,0,0,0,0,1
Piper perlasense,Piperaceae,110,118,68,39,25,17,11,12
Piper reticulatum,Piperaceae,172,161,141,123,114,123,126,123
Piper schiedeanum,Piperaceae,12,10,4,1,4,5,3,2
Platymiscium pinnatum,Fabaceae-papilionoideae,115,103,99,110,92,101,120,138
Platypodium elegans,Fabaceae-papilionoideae,114,110,116,97,83,86,79,70
Posoqueria latifolia,Rubiaceae,62,65,63,64,59,59,61,59
Poulsenia armata,Moraceae,2499,1822,1319,1019,732,532,416,362
Pourouma bicolor,Urticaceae,29,31,28,35,43,86,110,135
Pouteria fossicola,Sapotaceae,1,1,1,1,1,1,1,2
Pouteria reticulata,Sapotaceae,1496,1551,1576,1427,1191,990,872,797
Pouteria stipitata,Sapotaceae,31,33,36,40,42,34,32,30
Prioria copaifera,Fabaceae-caesalpinioideae,1075,1097,1104,1073,1028,991,963,890
Protium confusum,Burseraceae,1,2,4,3,4,7,10,14
Protium costaricense,Burseraceae,809,764,771,710,656,589,585,610
Protium panamense,Burseraceae,2682,2826,3009,2963,2857,2818,2968,3046
Protium tenuifolium,Burseraceae,2250,2489,2656,2552,2452,2420,2482,2645
Pseudobombax septenatum,Malvaceae,12,7,11,9,7,26,33,23
Psidium friedrichsthalianum,Myrtaceae,36,39,43,49,48,52,53,52
Psychotria acuminata,Rubiaceae,8,11,16,13,12,8,14,20
Psychotria brachiata,Rubiaceae,0,0,1,1,0,1,3,0
Psychotria chagrensis,Rubiaceae,13,17,15,9,6,13,16,22
Psychotria cyanococca,Rubiaceae,4,3,3,3,3,5,4,4
Psychotria deflexa,Rubiaceae,88,77,60,30,15,13,38,69
Psychotria graciliflora,Rubiaceae,10,14,44,57,52,53,65,66
Psychotria grandis,Rubiaceae,102,95,79,63,44,36,57,44
Psychotria hoffmannseggiana,Rubiaceae,5,0,2,0,0,0,1,5
Psychotria horizontalis,Rubiaceae,6160,6432,5902,4856,3936,3120,2455,1742
Psychotria limonensis,Rubiaceae,15,17,19,22,23,65,70,58
Psychotria marginata,Rubiaceae,577,686,690,629,553,579,758,922
Psychotria psychotriifolia,Rubiaceae,0,0,0,1,1,1,0,0
Psychotria racemosa,Rubiaceae,1,2,2,0,0,2,7,10
Psychotria tenuifolia,Rubiaceae,7,5,4,1,0,2,0,0
Pterocarpus officinalis,Fabaceae-papilionoideae,8,7,3,3,1,1,1,1
Pterocarpus rohrii,Fabaceae-papilionoideae,1441,1525,1621,1529,1396,1328,1168,987
Quararibea asterolepis,Malvaceae,1693,1688,1650,1567,1478,1423,1436,1503
Quassia amara,Simaroubaceae,151,147,143,140,127,114,110,105
Randia armata,Rubiaceae,900,921,902,860,758,713,701,694
Rauvolfia littoralis,Apocynaceae,0,0,0,1,1,1,1,1
Rinorea sylvatica,Violaceae,2576,2619,2598,2423,2314,2275,2264,2234
Rosenbergiodendron formosum,Rubiaceae,4,4,4,4,4,3,1,1
Sapium broadleaf,Euphorbiaceae,0,0,0,0,1,1,2,2
Sapium glandulosum,Euphorbiaceae,25,21,24,17,23,35,28,22
Schizolobium parahyba,Fabaceae-caesalpinioideae,4,4,6,6,5,5,6,6
Senna dariensis,Fabaceae-caesalpinioideae,201,134,113,72,65,134,161,245
Simarouba amara,Simaroubaceae,990,993,1020,949,964,1234,1340,1604
Siparuna cristata,Siparunaceae,21,18,16,18,19,17,19,17
Siparuna pauciflora,Siparunaceae,408,329,299,241,299,351,346,530
Sloanea terniflora,Elaeocarpaceae,521,509,499,463,421,394,378,341
Socratea exorrhiza,Arecaceae,438,380,348,327,296,243,221,191
Solanum arboreum,Solanaceae,1,1,0,0,0,0,0,0
Solanum asperum,Solanaceae,0,0,4,5,8,7,8,12
Solanum circinatum,Solanaceae,5,4,3,1,0,5,5,28
Solanum hayesii,Solanaceae,85,64,64,30,35,57,54,146
Solanum steyermarkii,Solanaceae,7,6,2,2,1,4,3,3
Sorocea affinis,Moraceae,3255,3325,3273,3086,2812,2521,2281,2105
Spachea membranacea,Malpighiaceae,12,9,8,7,5,6,5,5
Spondias mombin,Anacardiaceae,34,38,66,71,52,67,84,117
Spondias radlkoferi,Anacardiaceae,142,115,151,152,195,200,207,174
Stemmadenia grandiflora,Apocynaceae,0,0,0,0,0,1,0,1
Sterculia apetala,Malvaceae,40,27,36,32,27,20,21,20
Stylogyne turbacensis,Myrsinaceae,716,738,756,716,680,691,707,740
Swartzia simplex,Fabaceae-papilionoideae,4663,4938,5105,5146,5211,5360,5428,5510
Symphonia globulifera,Clusiaceae,144,142,147,142,133,132,141,135
Tabebuia guayacan,Bignoniaceae,46,47,46,46,38,40,36,37
Tabebuia rosea,Bignoniaceae,230,221,244,199,179,167,175,198
Tabernaemontana arborea,Apocynaceae,1003,1035,1125,1184,1167,1231,1344,1390
Tachigali versicolor,Fabaceae-caesalpinioideae,2837,2896,3006,2849,2382,2123,1977,1788
Talisia croatii,Sapindaceae,616,631,670,642,631,665,713,732
Talisia nervosa,Sapindaceae,810,814,797,777,745,720,706,703
Terminalia amazonia,Combretaceae,33,31,30,24,17,19,21,33
Terminalia oblonga,Combretaceae,49,48,52,49,48,42,46,42
Ternstroemia tepezapote,Pentaphylacaceae,1,1,0,1,1,0,0,0
Tetragastris panamensis,Burseraceae,2956,3397,3752,3758,3832,4092,4226,4810
Tetrathylacium johansenii,Salicaceae,2,0,1,0,0,0,1,0
Theobroma cacao,Malvaceae,10,6,8,8,7,7,6,5
Thevetia ahouai,Apocynaceae,103,94,95,82,72,90,83,82
Tocoyena pittieri,Rubiaceae,3,4,3,2,2,2,2,1
Trattinnickia aspera,Burseraceae,63,50,35,28,24,26,37,25
Trema integerrima,Cannabaceae,0,0,0,0,2,5,22,15
Trema micrantha,Cannabaceae,11,5,6,8,12,19,5,2
Trichanthera gigantea,Acanthaceae,9,6,6,9,5,3,3,2
Trichilia pallida,Meliaceae,486,500,510,485,436,394,376,352
Trichilia tuberculata,Meliaceae,10904,11262,11503,11134,10403,9909,9526,9189
Trichospermum galeottii,Malvaceae,1,0,0,0,3,0,2,2
Triplaris cumingiana,Polygonaceae,250,219,178,145,112,103,98,112
Trophis caucana,Moraceae,391,332,245,180,139,104,96,92
Trophis racemosa,Moraceae,261,278,287,282,261,234,210,193
Turpinia occidentalis,Tapisciaceae,84,57,28,21,19,28,49,26
Unidentified species,Unknown,22,31,37,23,15,0,0,0
Unonopsis pittieri,Annonaceae,638,639,629,555,481,445,466,522
Urera baccifera,Urticaceae,2,5,17,11,16,13,15,17
Vasconcellea cauliflora,Caricaceae,0,0,0,0,0,0,2,0
Verbesina gigantea,Asteraceae,0,0,0,0,1,1,2,1
Virola multiflora,Myristicaceae,38,34,30,26,22,18,13,9
Virola sebifera,Myristicaceae,1794,1687,1477,1247,1025,836,748,633
