Talisia nervosa	Sapindaceae	Radlk.	811	815	798	778	746	721	706	703
Talisia croatii	Sapindaceae	Acev.-Rodr.	622	639	674	645	634	668	717	739
Terminalia amazonia	Combretaceae	(J.F.Gmel.) Exell	61	59	58	52	46	46	47	57
Terminalia oblonga	Combretaceae	(Ruiz & Pav.) Steud.	93	91	99	93	90	85	91	87
Ternstroemia tepezapote	Pentaphylacaceae	Schltdl. & Cham.	1	1	1	1	1	0	0	0
Tetragastris panamensis	Burseraceae	(Engl.) Kuntze	3281	3727	4114	4137	4229	4491	4620	5199
Tetrathylacium johansenii	Salicaceae	Standl.	10	7	7	7	7	6	5	1
Theobroma cacao	Malvaceae	L.	22	20	21	20	18	18	16	15
Thevetia ahouai	Apocynaceae	(L.) A.DC.	105	95	96	84	74	91	84	82
Tocoyena pittieri	Rubiaceae	(Standl.) Standl.	8	10	9	8	8	8	8	7
Trattinnickia aspera	Burseraceae	(Standl.) Swart	113	97	83	68	66	66	79	71
Trema integerrima*	Cannabaceae	(Beurl.) Standl.	0	0	1	1	5	12	52	51
Trema micrantha*	Cannabaceae	(L.) Blume	0	0	0	1	4	11	19	6
Trema unidentified*	Cannabaceae	NA	32	23	20	21	23	20	0	0
Trichanthera gigantea	Acanthaceae	(Bonpl.) Nees	12	9	8	11	7	5	4	2
Trichilia pallida	Meliaceae	Sw.	560	573	589	567	521	484	475	457
Trichilia tuberculata	Meliaceae	(Triana & Planch.) C. DC.	12925	13160	13284	12812	11972	11335	10839	10369
Trichospermum galeottii	Malvaceae	(Turcz.) Kosterm.	7	4	2	1	5	1	2	4
Triplaris cumingiana	Polygonaceae	Fisch. & C.A.Mey.	375	346	323	293	258	241	228	227
Trophis racemosa	Moraceae	(L.) Urb.	314	325	324	313	286	253	228	212
Turpinia occidentalis	Tapisciaceae	(Sw.) G.Don	153	113	85	79	72	70	90	56
Unidentified species*	Unknown		0	9	14	0	0	0	0	0
Unonopsis pittieri	Annonaceae	Saff.	774	787	790	719	658	621	648	690
Urera baccifera	Urticaceae	(L.) Gaudich. ex Wedd.	2	5	17	11	16	13	15	17
Verbesina gigantea	Asteraceae	Jacq.	0	0	0	0	1	1	2	1
Virola sebifera	Myristicaceae	Aubl.	2399	2272	2080	1860	1612	1393	1273	1103
Virola multiflora	Myristicaceae	(Standl.) A.C.Sm.	58	53	53	50	47	44	41	34
Virola nobilis	Myristicaceae	A.C. Sm.	306	264	245	225	200	182	177	159
Vismia baccifera	Clusiaceae	(L.) Triana & Planch.	75	77	80	71	54	41	56	50
Vismia billbergiana	Clusiaceae	Beurl.	3	4	3	2	2	4	5	7
Vismia macrophylla	Clusiaceae	Kunth	1	0	0	1	1	0	2	0
